"shortTerm","longTerm","totalReturns","totalTrades","recommendedDifference"
30,90,0,6,0.003
30,91,0,7,0.003
30,92,0,8,0.003
30,93,-0.19434306569343054,7,0.003
30,94,-0.2346735435470636,11,0.003
30,95,-0.1703392823410563,12,0.003
30,96,-0.1883515008567947,14,0.003
30,97,-0.14524734642092502,16,0.003
30,98,-0.16143236629633992,16,0.003
30,99,-0.15265837030057972,16,0.003
30,100,-0.07549823996650046,17,0.003
30,101,-0.10542250450435625,14,0.003
30,102,-0.211156730893573,10,0.003
30,103,-0.2118194749773697,12,0.003
30,104,-0.2118194749773697,11,0.003
30,105,-0.08868968354498895,11,0.003
30,106,-0.08405875952121869,11,0.003
30,107,-0.20488574537540805,14,0.003
30,108,-0.20236399652931258,16,0.003
30,109,-0.11724262413442287,17,0.003
30,110,-0.0895977869500307,16,0.003
30,111,-0.03041881453910637,13,0.003
30,112,-0.021135055326067045,9,0.003
30,113,-0.024162339165812122,6,0.003
30,114,-0.1888168015517356,5,0.003
30,115,-0.1943049968416503,5,0.003
30,116,-0.1902548324526787,4,0.003
30,117,-0.1902548324526787,3,0.003
30,118,-0.19711426576681407,5,0.003
30,119,-0.19972897937599157,4,0.003
30,120,-0.2038934426229508,4,0.003
30,121,-0.020852402269966173,6,0.003
30,122,-0.014495165504501622,5,0.003
30,123,-0.08587406159031712,7,0.003
30,124,-0.0954268325698753,8,0.003
30,125,-0.0660608977234724,9,0.003
30,126,-0.07709668319026312,12,0.003
30,127,-0.023347736157586303,14,0.003
30,128,0.07716287332819374,17,0.003
30,128,0.07716287332819374,17,0.003
30,129,0.10528384708618614,17,0.003
30,129,0.10528384708618614,17,0.003
30,130,0.10405418670855024,16,0.003
30,130,0.10405418670855024,16,0.003
30,131,-0.01712550084011885,15,0.003
30,132,-0.01712550084011885,13,0.003
30,133,-0.01712550084011885,12,0.003
30,134,-0.01461591486795047,10,0.003
30,135,-0.01461591486795047,10,0.003
30,136,-0.028958476489643552,9,0.003
30,137,-0.028958476489643552,9,0.003
30,138,-0.2167644539268454,8,0.003
30,139,-0.2184793377864425,8,0.003
30,140,-0.010525975912950765,12,0.003
30,141,-0.022732101125982482,11,0.003
30,142,-0.022732101125982482,12,0.003
30,143,-0.09297945389773224,13,0.003
30,144,-0.022388913402297612,13,0.003
30,145,-0.18152631930974508,12,0.003
30,146,-0.18152631930974508,12,0.003
30,147,-0.19493062705299796,13,0.003
30,148,-0.1709919068958598,12,0.003
30,149,-0.20774073955703284,10,0.003
30,150,-0.20774073955703284,10,0.003
30,151,-0.07485202367621176,13,0.003
30,152,-0.07485202367621176,13,0.003
30,153,-0.07485202367621176,14,0.003
30,154,-0.07485202367621176,14,0.003
30,155,-0.1029052053383684,17,0.003
30,156,0.03247105143830397,17,0.003
30,156,0.03247105143830397,17,0.003
30,157,0.03247105143830397,17,0.003
30,157,0.03247105143830397,17,0.003
30,158,0.03247105143830397,15,0.003
30,158,0.03247105143830397,15,0.003
30,159,0.03247105143830397,14,0.003
30,159,0.03247105143830397,14,0.003
30,160,0.0384790452400778,14,0.003
30,160,0.0384790452400778,14,0.003
30,161,0.03424115338621939,10,0.003
30,161,0.03424115338621939,10,0.003
30,162,0.03424115338621939,9,0.003
30,162,0.03424115338621939,9,0.003
30,163,-0.027443796835969928,9,0.003
30,164,0.06291824767161104,8,0.003
30,164,0.06291824767161104,8,0.003
30,165,-0.11148419481752798,5,0.003
30,166,-0.11148419481752798,4,0.003
30,167,-0.1378061343169507,5,0.003
30,168,-0.12851037851037847,5,0.003
30,169,-0.12851037851037847,5,0.003
30,170,-0.05394554027590879,7,0.003
30,171,0.009886020004652323,6,0.003
30,171,0.009886020004652323,6,0.003
30,172,0.009886020004652323,6,0.003
30,172,0.009886020004652323,6,0.003
30,173,-0.02501769343450129,10,0.003
30,174,-0.024046611913030504,11,0.003
30,175,-0.024046611913030504,11,0.003
30,176,-0.024046611913030504,11,0.003
30,177,0.03113327791632041,11,0.003
