shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
27,60,0.673706389780141,13,0.001
3,80,0.663463679583939,6,0.001
30,68,0.661507960246766,16,0.001
22,57,0.660161846209663,15,0.001
13,27,0.657868559577235,31,0.002
44,79,0.656140852031937,14,0.001
21,53,0.654680765561881,14,0.001
10,53,0.651924422666816,5,0.001
18,62,0.648302038503168,7,0.001
16,65,0.646749281437387,10,0.002
12,29,0.645683401564215,11,0.001
30,65,0.64495528680947,24,0.001
8,79,0.638585354973861,8,0.001
3,65,0.63837075830469,10,0.001
23,56,0.636731971275882,34,0.002
63,79,0.631808265890771,23,0.001
18,76,0.630585122926033,4,0.001
24,57,0.626266631046981,47,0.003
47,83,0.620440096136117,16,0.001
6,57,0.617307349157937,10,0.002
12,83,0.614128637066524,9,0.002
15,67,0.61209975162044,4,0.001
27,49,0.612060381473095,16,0.001
22,53,0.61086828436119,29,0.002
29,67,0.6106644318019,28,0.002
28,67,0.610561786816583,24,0.002
61,79,0.60889483558192,22,0.001
24,59,0.608765877249731,25,0.002
15,57,0.606841643408752,6,0.001
7,52,0.605534074358787,12,0.002
25,84,0.605221021657663,11,0.001
13,71,0.604781426803576,6,0.001
4,70,0.603406553066967,17,0.002
4,18,0.602551662670519,12,0.001
24,60,0.601953853737533,23,0.002
21,75,0.600063732391357,11,0.002
20,78,0.596396063142455,10,0.002
15,80,0.595888153395189,8,0.001
14,55,0.594840412134926,9,0.001
8,59,0.583017283184069,6,0.001
8,60,0.581558247685844,7,0.001
17,77,0.5779701620439,8,0.002
5,79,0.577543860987613,11,0.001
6,79,0.576262165173627,9,0.001
15,83,0.575348681012194,7,0.001
22,48,0.56920227220601,13,0.001
22,81,0.56737493182375,7,0.001
34,60,0.56549643708267,35,0.001
13,74,0.565395118261676,6,0.001
17,52,0.564110381367946,7,0.001
27,66,0.563941611248407,10,0.001
32,77,0.563336646983198,11,0.001
23,57,0.561651671057594,28,0.002
14,80,0.559713168653007,10,0.002
31,76,0.556859440423134,9,0.001
7,78,0.55663821552084,10,0.001
11,48,0.556463350367844,9,0.001
28,62,0.556042283898475,37,0.002
26,52,0.55311240032045,16,0.001
24,49,0.552074296257692,11,0.001
19,77,0.548661179911931,5,0.001
24,72,0.547829977016364,6,0.001
13,84,0.543092283787702,6,0.001
20,83,0.542959961465207,5,0.001
21,81,0.541922333621178,6,0.001
9,21,0.541271208071717,14,0.001
31,74,0.53899735825672,13,0.001
20,80,0.535958909702068,6,0.001
27,47,0.535380276742731,17,0.001
10,73,0.534791536260549,8,0.001
28,66,0.53468381755513,14,0.001
17,80,0.531304317971934,6,0.001
16,63,0.531118269611084,11,0.002
30,81,0.529637063475293,8,0.001
31,45,0.528769059992876,18,0.001
32,64,0.528350703279523,49,0.002
21,82,0.527247978464822,16,0.002
9,19,0.527065644867616,25,0.001
27,62,0.525349703848649,31,0.002
19,83,0.524442097362901,8,0.001
9,83,0.524331306190616,18,0.003
7,38,0.521081734546934,9,0.001
21,76,0.520119751443739,4,0.001
14,25,0.520052565131017,27,0.001
23,48,0.519538090619346,15,0.001
24,76,0.518619982062462,8,0.001
21,49,0.516486663606245,26,0.002
3,50,0.515864020956196,12,0.002
4,42,0.515362634563408,6,0.001
35,77,0.514314439878814,12,0.001
13,72,0.51334524690917,3,0.001
14,66,0.513152422714953,5,0.001
48,84,0.512797180134983,18,0.001
22,77,0.512537631873452,8,0.001
32,72,0.512082166397771,11,0.001
14,79,0.511448458959155,6,0.001
17,82,0.510777068006456,14,0.002
10,26,0.509837114815362,17,0.001
6,21,0.508219486454406,9,0.001
14,83,0.507513317185866,14,0.002
21,31,0.505825648014006,26,0.001
7,46,0.505395329502434,9,0.001
3,62,0.50426839776318,7,0.001
5,54,0.503574524301101,7,0.001
26,62,0.503300220351629,40,0.003
12,61,0.501908197892481,7,0.001
5,73,0.499780449685283,5,0.001
58,82,0.499469854405341,16,0.001
7,69,0.499210715957252,6,0.001
4,75,0.498657738602401,7,0.001
28,68,0.498418629940845,13,0.001
33,60,0.497708958573566,29,0.001
15,82,0.497632551697697,8,0.001
17,81,0.496650607040768,12,0.002
5,82,0.49613178499984,7,0.001
14,24,0.495298691892653,32,0.001
23,75,0.494887584030117,6,0.001
18,82,0.491655822092265,6,0.001
15,81,0.490906514045394,6,0.001
15,61,0.489365913266145,9,0.001
31,66,0.488936991930035,24,0.001
30,69,0.484419744432752,15,0.001
6,68,0.484357988356786,6,0.001
5,53,0.484192529321342,6,0.001
13,46,0.483599917056963,9,0.001
55,84,0.482871154066387,18,0.001
55,81,0.482142875754769,19,0.001
29,71,0.482078143528331,14,0.001
11,29,0.479257092814304,16,0.001
9,20,0.475257183786894,13,0.001
21,50,0.474990541404598,24,0.002
18,83,0.474074099962569,6,0.001
21,79,0.474028678800655,7,0.001
23,58,0.473121410811359,35,0.003
18,69,0.472848685670307,3,0.001
49,84,0.471078499078779,19,0.001
23,39,0.47099247729037,18,0.001
8,57,0.470957567220283,6,0.001
5,75,0.469730944101214,6,0.001
11,71,0.469398857501024,6,0.001
17,76,0.468949112021767,6,0.001
7,55,0.467892416473643,6,0.001
20,84,0.465774834820926,17,0.002
7,53,0.463649199795765,6,0.001
7,54,0.463649199795765,8,0.001
28,61,0.4635677566876,34,0.002
6,69,0.461742078456557,7,0.001
10,28,0.461508284244792,10,0.001
8,73,0.460189274615457,10,0.001
8,74,0.460189274615457,6,0.001
14,72,0.45998976164235,9,0.002
19,64,0.45906430768385,4,0.001
29,68,0.457352479238424,16,0.001
32,80,0.455330045387987,19,0.002
34,83,0.453422739994672,23,0.002
32,61,0.453250555816679,31,0.001
13,62,0.453062834772317,8,0.001
34,84,0.451704559206306,15,0.001
6,82,0.447210068192673,8,0.001
10,45,0.447198961788727,6,0.001
29,65,0.446427400871121,18,0.001
17,49,0.445828907319347,10,0.001
18,84,0.44560240750644,7,0.001
10,71,0.444693588761563,8,0.001
23,77,0.444506121421335,7,0.001
10,57,0.444400765912566,6,0.001
22,78,0.44416899309124,13,0.002
53,83,0.442644806956942,20,0.001
5,78,0.441919528060027,17,0.002
24,81,0.440905288711502,6,0.001
26,74,0.440905288711502,5,0.001
5,21,0.440106745713845,20,0.001
23,37,0.43991506055509,14,0.001
8,78,0.439141981002747,12,0.002
21,47,0.439116763300938,26,0.002
12,43,0.438386783742748,12,0.001
15,53,0.43705391829799,8,0.001
14,78,0.436926912055535,7,0.001
19,60,0.436691116865476,8,0.001
23,36,0.436228261706398,19,0.001
27,68,0.433891327676161,11,0.001
16,23,0.433008755481531,33,0.001
24,61,0.432328826938764,18,0.002
3,49,0.431972774220692,6,0.001
6,78,0.431768557815361,5,0.001
17,83,0.430743232735317,7,0.001
15,46,0.430361875690715,7,0.001
61,82,0.428258858905457,22,0.001
23,83,0.42800463826088,12,0.002
5,67,0.426351981026289,7,0.001
13,82,0.426300428880553,7,0.001
24,40,0.425080720985999,20,0.001
19,63,0.42474920504313,5,0.001
9,60,0.423692877335067,10,0.001
4,80,0.42309517871944,9,0.001
23,74,0.422259837416318,8,0.001
3,66,0.421965311232742,16,0.002
24,77,0.421937880176662,7,0.001
17,72,0.421470259822467,5,0.001
30,62,0.419920697237757,25,0.001
27,46,0.419831467539053,12,0.001
9,46,0.419129067692522,6,0.001
12,76,0.418488472537539,10,0.002
16,77,0.417989410869988,7,0.001
5,80,0.416934869989369,7,0.001
5,68,0.416914264999669,8,0.001
15,54,0.416535761194857,5,0.001
4,79,0.416412528420265,10,0.001
19,74,0.416071418096689,5,0.001
29,63,0.415464371234121,55,0.003
28,50,0.415124918898246,15,0.001
6,36,0.414055665752546,11,0.001
5,65,0.409636180284017,7,0.001
45,83,0.409330122390149,11,0.001
31,75,0.409297387286285,12,0.001
32,63,0.408847395475671,53,0.002
58,83,0.408743901840039,19,0.001
14,68,0.408503828709826,9,0.002
15,45,0.407640828289639,9,0.001
29,40,0.407482488889062,22,0.001
10,50,0.407364594239976,8,0.001
10,77,0.407290679480642,5,0.001
32,60,0.407157135849087,30,0.001
13,41,0.406891069984763,9,0.001
14,41,0.405979530442582,6,0.001
12,42,0.403382540381451,9,0.001
22,52,0.403329031804129,27,0.002
9,23,0.402889501252551,10,0.001
7,20,0.402695095363896,19,0.001
4,57,0.401379267374675,8,0.001
29,64,0.400353916350863,23,0.001
3,44,0.399284579104501,6,0.001
9,80,0.399210438622882,8,0.001
