"shortTerm","longTerm","totalReturns","totalTrades","recommendedDifference"
5,10,0.18415133767769257,88,0.003
5,10,0.18415133767769257,88,0.003
5,11,0.1070617701590606,76,0.003
5,11,0.1070617701590606,76,0.003
5,12,0.1324832020807745,71,0.003
5,12,0.1324832020807745,71,0.003
5,13,0.3526053569395922,56,0.003
5,13,0.3526053569395922,56,0.003
5,14,0.3799622711913598,58,0.003
5,14,0.3799622711913598,58,0.003
5,15,0.2612807184518144,48,0.003
5,15,0.2612807184518144,48,0.003
5,16,0.12337403475616057,47,0.003
5,16,0.12337403475616057,47,0.003
5,17,0.15288699018757088,44,0.003
5,17,0.15288699018757088,44,0.003
5,18,0.12614895579785046,46,0.003
5,18,0.12614895579785046,46,0.003
5,19,-0.009447509636459852,40,0.003
5,20,-0.015760318327221676,34,0.003
5,21,-0.006347054473749104,32,0.003
5,22,0.07304153889043766,33,0.003
5,22,0.07304153889043766,33,0.003
5,23,0.029713816239901415,29,0.003
5,23,0.029713816239901415,29,0.003
5,24,0.1378026070763501,24,0.003
5,24,0.1378026070763501,24,0.003
5,25,0.05708410339172763,22,0.003
5,25,0.05708410339172763,22,0.003
5,26,0.12563638420635823,23,0.003
5,26,0.12563638420635823,23,0.003
5,27,0.10309522120545746,22,0.003
5,27,0.10309522120545746,22,0.003
5,28,0.10614352090862161,17,0.003
5,28,0.10614352090862161,17,0.003
5,29,-0.020601967272562433,22,0.003
5,30,0.03636126677961687,23,0.003
5,30,0.03636126677961687,23,0.003
5,31,0.008180239466227963,19,0.003
5,31,0.008180239466227963,19,0.003
5,32,0.03421278906638911,12,0.003
5,32,0.03421278906638911,12,0.003
5,33,0.17157966898442858,9,0.003
5,33,0.17157966898442858,9,0.003
5,34,0.03214605734767024,13,0.003
5,34,0.03214605734767024,13,0.003
5,35,0.033686541198798034,14,0.003
5,35,0.033686541198798034,14,0.003
5,36,0.03901567771383212,13,0.003
5,36,0.03901567771383212,13,0.003
5,37,0.04261884099893936,14,0.003
5,37,0.04261884099893936,14,0.003
5,38,0.1776641699361947,15,0.003
5,38,0.1776641699361947,15,0.003
5,39,0.40539613581799483,12,0.003
5,39,0.40539613581799483,12,0.003
5,40,0.21756030639076257,14,0.003
5,40,0.21756030639076257,14,0.003
5,41,0.2647297140872786,12,0.003
5,41,0.2647297140872786,12,0.003
5,42,0.16279832690888216,11,0.003
5,42,0.16279832690888216,11,0.003
5,43,0.26910131268933024,10,0.003
5,43,0.26910131268933024,10,0.003
5,44,0.04199451052150046,14,0.003
5,44,0.04199451052150046,14,0.003
5,45,0.04199451052150046,16,0.003
5,45,0.04199451052150046,16,0.003
5,46,-0.034940913446183365,13,0.003
5,47,-0.07565011820330972,13,0.003
5,48,0.012290838649343687,15,0.003
5,48,0.012290838649343687,15,0.003
5,49,-0.05368184373243394,17,0.003
5,50,-0.06664322700249313,13,0.003
5,51,-0.0765997830802603,14,0.003
5,52,-0.008673634306648026,11,0.003
5,53,0.08385218727258029,9,0.003
5,53,0.08385218727258029,9,0.003
5,54,0.07826767545003914,8,0.003
5,54,0.07826767545003914,8,0.003
5,55,0.0536362868485514,15,0.003
5,55,0.0536362868485514,15,0.003
5,56,0.243348255764845,12,0.003
5,56,0.243348255764845,12,0.003
5,57,0.26924471299093655,10,0.003
